City,Region,Population,link,Country,Capital City,Capital Population
Mariehamn,Ålands landsbygd,12000,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Jomala,Ålands landsbygd,3660,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Finström,Ålands landsbygd,2410,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Lemland,Ålands landsbygd,1830,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Saltvik,Ålands landsbygd,1690,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Hammarland,Ålands landsbygd,1400,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Sund,Ålands landsbygd,1080,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Eckerö,Ålands landsbygd,1030,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Föglö,Ålands skärgård,632,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Brändö,Ålands skärgård,515,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Geta,Ålands landsbygd,452,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Vårdö,Ålands skärgård,411,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Kumlinge,Ålands skärgård,384,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Kökar,Ålands skärgård,355,https://www.worlddata.info/europe/aland/index.php,Åland Islands,Mariehamn,11709
Tirana,Tiranë,418000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Durrës,Durrës,113000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Elbasan,Elbasan,101000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Vlorë,Vlorë,90000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Shkodër,Shkodër,88000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Korçë,Korçë,58000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Fier,Fier,56000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Berat,Berat,47000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Lushnjë,Fier,41000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Kavajë,Tiranë,29000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Laç,Lezhë,25000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Gjirokastër,Gjirokastër,23000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Patos Fshat,Fier,23000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Krujë,Durrës,21000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Lezhë,Lezhë,19000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Kuçovë,Berat,18000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Kukës,Kukës,18000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Burrel,Dibër,15000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Sarandë,Vlorë,15000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Peshkopi,Dibër,15000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Cërrik,Elbasan,14000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Shijak,Durrës,14000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Çorovodë,Berat,14000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Librazhd-Qendër,Elbasan,13000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Tepelenë,Gjirokastër,12000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Gramsh,Elbasan,12000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Bulqizë,Dibër,11000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Kamëz,Tiranë,11000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Përmet,Gjirokastër,11000,https://www.worlddata.info/europe/albania/index.php,Albania,Tirana,418495
Andorra la Vella,Andorra la Vella,23000,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
les Escaldes,Escaldes-Engordany,16000,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
Encamp,Encamp,11000,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
Sant Julià de Lòria,Sant Julià de Loria,8020,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
la Massana,La Massana,7210,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
Canillo,Canillo,3290,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
Ordino,Ordino,3070,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
Pas de la Casa,Encamp,2360,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
Arinsal,La Massana,1420,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
El Tarter,Canillo,1050,https://www.worlddata.info/europe/andorra/index.php,Andorra,Andorra la Vella,22886
Vienna,Vienna,1911000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Graz,Styria,289000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Linz,Upper Austria,206000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Salzburg,Salzburg,154000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Innsbruck,Tirol,132000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Klagenfurt am Wörthersee,Carinthia,101000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Villach,Carinthia,62000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Wels,Upper Austria,62000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Sankt Pölten,Lower Austria,55000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Dornbirn,Vorarlberg,50000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Steyr,Upper Austria,40000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Wiener Neustadt,Lower Austria,38000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Feldkirch,Vorarlberg,31000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Bregenz,Vorarlberg,30000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Wolfsberg,Carinthia,26000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Baden,Lower Austria,25000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Klosterneuburg,Lower Austria,25000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Leoben,Styria,25000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Traun,Upper Austria,24000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Kapfenberg,Styria,22000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Lustenau,Vorarlberg,20000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Hallein,Salzburg,19000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Spittal an der Drau,Carinthia,16000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Eisenstadt,Burgenland,14000,https://www.worlddata.info/europe/austria/index.php,Austria,Vienna,1911191
Minsk,Minsk,2010000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Gomel,Gomel,509000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Mahilyow,Mogilev,369000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Vitebsk,Vitebsk,362000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Brest,Brest,348000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Hrodna,Grodnenskaya,317000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Babruysk,Mogilev,221000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Baranovichi,Brest,179000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Pinsk,Brest,138000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Novoye Medvezhino,Minsk,120000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Orsha,Vitebsk,115000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Mazyr,Gomel,112000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Lida,Grodnenskaya,102000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Salihorsk,Minsk,102000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Maladzyechna,Minsk,101000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Navapolatsk,Vitebsk,101000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Polatsk,Vitebsk,82000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Zhlobin,Gomel,73000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Svyetlahorsk,Gomel,71000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Slonim,Grodnenskaya,51000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Kobryn,Brest,51000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Vawkavysk,Grodnenskaya,47000,https://www.worlddata.info/europe/belarus/index.php,Belarus,Minsk,2009786
Brussels,Brussels Capital,1175000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Antwerpen,Flanders,498000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Gent,Flanders,248000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Charleroi,Wallonia,204000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Liège,Wallonia,196000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Brugge,Flanders,117000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Namur,Wallonia,110000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Leuven,Flanders,93000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Mons,Wallonia,91000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Aalst,Flanders,78000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Mechelen,Flanders,78000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
La Louvière,Wallonia,77000,https://www.worlddata.info/europe/belgium/index.php,Belgium,Brussels,1175173
Sarajevo,,276000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Banja Luka,,221000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Zenica,,164000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Tuzla,,142000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Mostar,,105000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Bihac,,76000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Bugojno,,41000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Brcko,,39000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Bijeljina,,38000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Prijedor,,36000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Trebinje,,33000,https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php,Bosnia and Herzegovina,Sarajevo,275524
Sofia,Southwest / Sofia,1242000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Plovdiv,Central-South / Plovdiv,347000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Varna,Northeast / Varna,337000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Burgas,Southeast / Burgas,202000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Ruse,Central-North / Ruse,143000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Stara Zagora,Southeast / Burgas,136000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Pleven,Northwest / Montana,97000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Sliven,Southeast / Burgas,96000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
Dobrich,Northeast / Varna,95000,https://www.worlddata.info/europe/bulgaria/index.php,Bulgaria,Sofia,1241675
