City,Region,Population,link
Mariehamn / Capital,Ålands landsbygd,"12,000",https://www.worlddata.info/europe/aland/index.php
Jomala,Ålands landsbygd,"3,660",https://www.worlddata.info/europe/aland/index.php
Finström,Ålands landsbygd,"2,410",https://www.worlddata.info/europe/aland/index.php
Lemland,Ålands landsbygd,"1,830",https://www.worlddata.info/europe/aland/index.php
Saltvik,Ålands landsbygd,"1,690",https://www.worlddata.info/europe/aland/index.php
Hammarland,Ålands landsbygd,"1,400",https://www.worlddata.info/europe/aland/index.php
Sund,Ålands landsbygd,"1,080",https://www.worlddata.info/europe/aland/index.php
Eckerö,Ålands landsbygd,"1,030",https://www.worlddata.info/europe/aland/index.php
Föglö,Ålands skärgård,632,https://www.worlddata.info/europe/aland/index.php
Brändö,Ålands skärgård,515,https://www.worlddata.info/europe/aland/index.php
Geta,Ålands landsbygd,452,https://www.worlddata.info/europe/aland/index.php
Vårdö,Ålands skärgård,411,https://www.worlddata.info/europe/aland/index.php
Kumlinge,Ålands skärgård,384,https://www.worlddata.info/europe/aland/index.php
Kökar,Ålands skärgård,355,https://www.worlddata.info/europe/aland/index.php
Tirana / Capital,Tiranë,"418,000",https://www.worlddata.info/europe/albania/index.php
Durrës,Durrës,"113,000",https://www.worlddata.info/europe/albania/index.php
Elbasan,Elbasan,"101,000",https://www.worlddata.info/europe/albania/index.php
Vlorë,Vlorë,"90,000",https://www.worlddata.info/europe/albania/index.php
Shkodër,Shkodër,"88,000",https://www.worlddata.info/europe/albania/index.php
Korçë,Korçë,"58,000",https://www.worlddata.info/europe/albania/index.php
Fier,Fier,"56,000",https://www.worlddata.info/europe/albania/index.php
Berat,Berat,"47,000",https://www.worlddata.info/europe/albania/index.php
Lushnjë,Fier,"41,000",https://www.worlddata.info/europe/albania/index.php
Kavajë,Tiranë,"29,000",https://www.worlddata.info/europe/albania/index.php
Laç,Lezhë,"25,000",https://www.worlddata.info/europe/albania/index.php
Gjirokastër,Gjirokastër,"23,000",https://www.worlddata.info/europe/albania/index.php
Patos Fshat,Fier,"23,000",https://www.worlddata.info/europe/albania/index.php
Krujë,Durrës,"21,000",https://www.worlddata.info/europe/albania/index.php
Lezhë,Lezhë,"19,000",https://www.worlddata.info/europe/albania/index.php
Kuçovë,Berat,"18,000",https://www.worlddata.info/europe/albania/index.php
Kukës,Kukës,"18,000",https://www.worlddata.info/europe/albania/index.php
Burrel,Dibër,"15,000",https://www.worlddata.info/europe/albania/index.php
Sarandë,Vlorë,"15,000",https://www.worlddata.info/europe/albania/index.php
Peshkopi,Dibër,"15,000",https://www.worlddata.info/europe/albania/index.php
Cërrik,Elbasan,"14,000",https://www.worlddata.info/europe/albania/index.php
Shijak,Durrës,"14,000",https://www.worlddata.info/europe/albania/index.php
Çorovodë,Berat,"14,000",https://www.worlddata.info/europe/albania/index.php
Librazhd-Qendër,Elbasan,"13,000",https://www.worlddata.info/europe/albania/index.php
Tepelenë,Gjirokastër,"12,000",https://www.worlddata.info/europe/albania/index.php
Gramsh,Elbasan,"12,000",https://www.worlddata.info/europe/albania/index.php
Bulqizë,Dibër,"11,000",https://www.worlddata.info/europe/albania/index.php
Kamëz,Tiranë,"11,000",https://www.worlddata.info/europe/albania/index.php
Përmet,Gjirokastër,"11,000",https://www.worlddata.info/europe/albania/index.php
Andorra la Vella / Capital,Andorra la Vella,"23,000",https://www.worlddata.info/europe/andorra/index.php
les Escaldes,Escaldes-Engordany,"16,000",https://www.worlddata.info/europe/andorra/index.php
Encamp,Encamp,"11,000",https://www.worlddata.info/europe/andorra/index.php
Sant Julià de Lòria,Sant Julià de Loria,"8,020",https://www.worlddata.info/europe/andorra/index.php
la Massana,La Massana,"7,210",https://www.worlddata.info/europe/andorra/index.php
Canillo,Canillo,"3,290",https://www.worlddata.info/europe/andorra/index.php
Ordino,Ordino,"3,070",https://www.worlddata.info/europe/andorra/index.php
Pas de la Casa,Encamp,"2,360",https://www.worlddata.info/europe/andorra/index.php
Arinsal,La Massana,"1,420",https://www.worlddata.info/europe/andorra/index.php
El Tarter,Canillo,"1,050",https://www.worlddata.info/europe/andorra/index.php
Vienna / Capital,Vienna,"1,911,000",https://www.worlddata.info/europe/austria/index.php
Graz,Styria,"289,000",https://www.worlddata.info/europe/austria/index.php
Linz,Upper Austria,"206,000",https://www.worlddata.info/europe/austria/index.php
Salzburg,Salzburg,"154,000",https://www.worlddata.info/europe/austria/index.php
Innsbruck,Tirol,"132,000",https://www.worlddata.info/europe/austria/index.php
Klagenfurt am Wörthersee,Carinthia,"101,000",https://www.worlddata.info/europe/austria/index.php
Villach,Carinthia,"62,000",https://www.worlddata.info/europe/austria/index.php
Wels,Upper Austria,"62,000",https://www.worlddata.info/europe/austria/index.php
Sankt Pölten,Lower Austria,"55,000",https://www.worlddata.info/europe/austria/index.php
Dornbirn,Vorarlberg,"50,000",https://www.worlddata.info/europe/austria/index.php
Steyr,Upper Austria,"40,000",https://www.worlddata.info/europe/austria/index.php
Wiener Neustadt,Lower Austria,"38,000",https://www.worlddata.info/europe/austria/index.php
Feldkirch,Vorarlberg,"31,000",https://www.worlddata.info/europe/austria/index.php
Bregenz,Vorarlberg,"30,000",https://www.worlddata.info/europe/austria/index.php
Wolfsberg,Carinthia,"26,000",https://www.worlddata.info/europe/austria/index.php
Baden,Lower Austria,"25,000",https://www.worlddata.info/europe/austria/index.php
Klosterneuburg,Lower Austria,"25,000",https://www.worlddata.info/europe/austria/index.php
Leoben,Styria,"25,000",https://www.worlddata.info/europe/austria/index.php
Traun,Upper Austria,"24,000",https://www.worlddata.info/europe/austria/index.php
Kapfenberg,Styria,"22,000",https://www.worlddata.info/europe/austria/index.php
Lustenau,Vorarlberg,"20,000",https://www.worlddata.info/europe/austria/index.php
Hallein,Salzburg,"19,000",https://www.worlddata.info/europe/austria/index.php
Spittal an der Drau,Carinthia,"16,000",https://www.worlddata.info/europe/austria/index.php
Eisenstadt,Burgenland,"14,000",https://www.worlddata.info/europe/austria/index.php
Minsk / Capital,Minsk,"2,010,000",https://www.worlddata.info/europe/belarus/index.php
Gomel,Gomel,"509,000",https://www.worlddata.info/europe/belarus/index.php
Mahilyow,Mogilev,"369,000",https://www.worlddata.info/europe/belarus/index.php
Vitebsk,Vitebsk,"362,000",https://www.worlddata.info/europe/belarus/index.php
Brest,Brest,"348,000",https://www.worlddata.info/europe/belarus/index.php
Hrodna,Grodnenskaya,"317,000",https://www.worlddata.info/europe/belarus/index.php
Babruysk,Mogilev,"221,000",https://www.worlddata.info/europe/belarus/index.php
Baranovichi,Brest,"179,000",https://www.worlddata.info/europe/belarus/index.php
Pinsk,Brest,"138,000",https://www.worlddata.info/europe/belarus/index.php
Novoye Medvezhino,Minsk,"120,000",https://www.worlddata.info/europe/belarus/index.php
Orsha,Vitebsk,"115,000",https://www.worlddata.info/europe/belarus/index.php
Mazyr,Gomel,"112,000",https://www.worlddata.info/europe/belarus/index.php
Lida,Grodnenskaya,"102,000",https://www.worlddata.info/europe/belarus/index.php
Salihorsk,Minsk,"102,000",https://www.worlddata.info/europe/belarus/index.php
Maladzyechna,Minsk,"101,000",https://www.worlddata.info/europe/belarus/index.php
Navapolatsk,Vitebsk,"101,000",https://www.worlddata.info/europe/belarus/index.php
Polatsk,Vitebsk,"82,000",https://www.worlddata.info/europe/belarus/index.php
Zhlobin,Gomel,"73,000",https://www.worlddata.info/europe/belarus/index.php
Svyetlahorsk,Gomel,"71,000",https://www.worlddata.info/europe/belarus/index.php
Slonim,Grodnenskaya,"51,000",https://www.worlddata.info/europe/belarus/index.php
Kobryn,Brest,"51,000",https://www.worlddata.info/europe/belarus/index.php
Vawkavysk,Grodnenskaya,"47,000",https://www.worlddata.info/europe/belarus/index.php
Brussels / Capital,Brussels Capital,"1,175,000",https://www.worlddata.info/europe/belgium/index.php
Antwerpen,Flanders,"498,000",https://www.worlddata.info/europe/belgium/index.php
Gent,Flanders,"248,000",https://www.worlddata.info/europe/belgium/index.php
Charleroi,Wallonia,"204,000",https://www.worlddata.info/europe/belgium/index.php
Liège,Wallonia,"196,000",https://www.worlddata.info/europe/belgium/index.php
Brugge,Flanders,"117,000",https://www.worlddata.info/europe/belgium/index.php
Namur,Wallonia,"110,000",https://www.worlddata.info/europe/belgium/index.php
Leuven,Flanders,"93,000",https://www.worlddata.info/europe/belgium/index.php
Mons,Wallonia,"91,000",https://www.worlddata.info/europe/belgium/index.php
Aalst,Flanders,"78,000",https://www.worlddata.info/europe/belgium/index.php
Mechelen,Flanders,"78,000",https://www.worlddata.info/europe/belgium/index.php
La Louvière,Wallonia,"77,000",https://www.worlddata.info/europe/belgium/index.php
Sarajevo / Capital,,"276,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Banja Luka,,"221,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Zenica,,"164,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Tuzla,,"142,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Mostar,,"105,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Bihac,,"76,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Bugojno,,"41,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Brcko,,"39,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Bijeljina,,"38,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Prijedor,,"36,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Trebinje,,"33,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Sofia / Capital,Southwest / Sofia,"1,242,000",https://www.worlddata.info/europe/bulgaria/index.php
Plovdiv,Central-South / Plovdiv,"347,000",https://www.worlddata.info/europe/bulgaria/index.php
Varna,Northeast / Varna,"337,000",https://www.worlddata.info/europe/bulgaria/index.php
Burgas,Southeast / Burgas,"202,000",https://www.worlddata.info/europe/bulgaria/index.php
Ruse,Central-North / Ruse,"143,000",https://www.worlddata.info/europe/bulgaria/index.php
Stara Zagora,Southeast / Burgas,"136,000",https://www.worlddata.info/europe/bulgaria/index.php
Pleven,Northwest / Montana,"97,000",https://www.worlddata.info/europe/bulgaria/index.php
Sliven,Southeast / Burgas,"96,000",https://www.worlddata.info/europe/bulgaria/index.php
Dobrich,Northeast / Varna,"95,000",https://www.worlddata.info/europe/bulgaria/index.php
Shumen,Northeast / Varna,"87,000",https://www.worlddata.info/europe/bulgaria/index.php
Pernik,Southwest / Sofia,"82,000",https://www.worlddata.info/europe/bulgaria/index.php
Yambol,Southeast / Burgas,"80,000",https://www.worlddata.info/europe/bulgaria/index.php
